City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
200,Teya,RU,60.3778,92.6267,33.55,94,94,3.87,overcast clouds
201,Jalu,LY,29.0331,21.5482,92.91,20,0,14.14,clear sky
202,Katsuura,JP,35.1333,140.3,65.05,73,54,5.41,broken clouds
203,Baruun-Urt,MN,46.6806,113.2792,53.24,84,31,18.7,scattered clouds
204,Padang,ID,-0.9492,100.3543,77.05,86,74,3.51,broken clouds
205,Kurayoshi,JP,35.4333,133.8167,62.78,75,100,5.68,overcast clouds
206,Kemijarvi,FI,66.7131,27.4306,58.59,73,100,5.97,overcast clouds
207,Agadez,NE,19.75,10.25,97.36,5,0,3.74,clear sky
208,Constitucion,CL,-35.3333,-72.4167,53.83,94,100,19.73,light rain
209,Bilibino,RU,68.0546,166.4372,34.5,66,55,4.07,broken clouds
210,Moerai,PF,-22.4333,-151.3333,75.94,77,71,23.35,broken clouds
211,Canton,CN,23.1167,113.25,84.15,76,100,8.03,overcast clouds
212,Virden,US,39.5009,-89.7679,81.09,40,2,5.5,clear sky
213,Khilok,RU,51.3674,110.4676,50.16,99,100,3.36,overcast clouds
214,San Patricio,US,28.017,-97.5169,89.49,48,15,6.85,few clouds
215,Kodiak,US,57.79,-152.4072,62.11,39,0,3.44,clear sky
216,Baniachang,BD,24.5167,91.3667,77.38,93,96,4.0,overcast clouds
217,Paamiut,GL,61.994,-49.6678,42.04,64,1,7.34,clear sky
218,Benguela,AO,-12.5763,13.4055,75.54,65,96,1.41,overcast clouds
219,Vestmannaeyjar,IS,63.4427,-20.2734,47.39,76,0,9.22,clear sky
220,Atmakur,IN,15.8833,78.5833,89.24,39,100,4.68,overcast clouds
221,Yagodnoye,RU,62.55,149.6667,52.97,76,81,4.03,broken clouds
222,Gladstone,AU,-23.85,151.25,58.93,77,94,3.44,overcast clouds
223,Dzheguta,RU,43.9671,42.0426,66.67,85,39,1.9,scattered clouds
224,Oksfjord,NO,70.2396,22.3479,50.07,89,99,2.19,overcast clouds
225,Zheleznodorozhnyy,RU,55.7503,38.0042,68.52,62,98,5.17,overcast clouds
226,Aklavik,CA,68.2191,-135.0107,32.0,86,75,8.05,mist
227,Omboue,GA,-1.5746,9.2618,75.99,84,86,7.31,overcast clouds
228,Boyuibe,BO,-20.4167,-63.2833,71.42,53,100,8.32,overcast clouds
229,Buala,SB,-8.145,159.5921,80.51,82,100,6.51,light rain
230,Upernavik,GL,72.7868,-56.1549,31.32,70,14,17.83,few clouds
231,Nikolskoye,RU,59.7035,30.7861,57.09,91,90,5.23,moderate rain
232,Dhidhdhoo,MV,6.8833,73.1,82.35,81,47,16.73,scattered clouds
233,Eagle,US,43.6954,-116.354,60.01,85,100,11.5,moderate rain
234,Shumikha,RU,55.2261,63.2961,48.58,67,72,2.24,broken clouds
235,Avera,US,33.194,-82.5271,83.55,48,65,10.27,broken clouds
236,Flinders,AU,-34.5833,150.8552,58.05,66,1,4.0,clear sky
237,Maniitsoq,GL,65.4167,-52.9,45.52,69,13,5.19,few clouds
238,Ahipara,NZ,-35.1667,173.1667,54.14,81,100,5.35,moderate rain
239,Mana,GF,5.6592,-53.7767,82.94,77,46,8.81,scattered clouds
240,Havelock,US,34.8791,-76.9013,82.98,60,20,12.66,few clouds
241,Saskylakh,RU,71.9167,114.0833,33.21,96,100,10.18,snow
242,Kidodi,TZ,-7.6036,37.0044,69.55,63,63,4.61,broken clouds
243,Sinazongwe,ZM,-17.2614,27.4618,69.08,49,1,5.44,clear sky
244,Demba,CD,-5.51,22.2667,77.18,47,39,2.98,scattered clouds
245,Banda Aceh,ID,5.5577,95.3222,80.98,79,97,8.7,overcast clouds
246,Demyansk,RU,57.643,32.466,57.9,79,100,2.95,overcast clouds
247,Kismayo,SO,-0.3582,42.5454,78.39,80,15,12.5,few clouds
248,Aljezur,PT,37.3191,-8.8033,68.63,72,21,9.82,few clouds
249,Waingapu,ID,-9.6567,120.2641,78.31,83,100,2.8,overcast clouds
250,Amapa,BR,1.0,-52.0,89.85,48,99,3.29,overcast clouds
251,Nelson Bay,AU,-32.7167,152.15,50.0,86,9,15.37,clear sky
252,Moyale,KE,3.5167,39.0584,67.41,62,58,4.21,broken clouds
253,Seoul,KR,37.5683,126.9778,72.97,60,0,3.44,clear sky
254,Lebedinyy,RU,58.5167,125.5167,51.19,68,0,6.53,clear sky
255,Port Hardy,CA,50.6996,-127.4199,53.78,94,75,4.61,broken clouds
256,Cabo San Lucas,MX,22.8909,-109.9124,86.61,59,0,7.29,clear sky
257,Ancud,CL,-41.8697,-73.8203,46.22,82,99,5.41,overcast clouds
258,Srednekolymsk,RU,67.45,153.6833,40.78,50,10,9.28,clear sky
259,Svetlyy,RU,54.675,20.1347,57.25,75,4,7.76,clear sky
260,Asyut,EG,27.181,31.1837,102.38,11,15,8.46,few clouds
261,San Rafael,AR,-34.6177,-68.3301,56.89,36,94,3.51,overcast clouds
262,Nanortalik,GL,60.1432,-45.2371,45.99,51,75,3.49,broken clouds
263,Beitbridge,ZW,-22.2167,30.0,67.86,41,0,4.34,clear sky
264,Kruisfontein,ZA,-34.0033,24.7314,58.89,77,100,13.09,overcast clouds
265,Meulaboh,ID,4.1363,96.1285,77.18,86,100,1.99,overcast clouds
266,Kaitangata,NZ,-46.2817,169.8464,41.05,83,84,6.8,broken clouds
267,Oussouye,SN,12.485,-16.5469,91.58,58,15,11.25,few clouds
268,Tambura,SS,5.6,27.4667,76.62,61,88,4.0,overcast clouds
