City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
501,Veraval,IN,82.06,scattered clouds,20.9,70.3667,Lords Inn Somnath
502,Mweka,CD,76.82,scattered clouds,-4.85,21.5667,Guest House Boshab
503,Batticaloa,LK,78.33,overcast clouds,7.7102,81.6924,Grand Star Guest House
506,Boulder City,US,85.28,clear sky,35.9786,-114.8325,Boulder Dam Hotel
507,Camoapa,NI,77.22,overcast clouds,12.3839,-85.5116,Hotel Las Pérgolas
508,Marsa Matruh,EG,77.2,clear sky,31.3525,27.2453,Beau Site
510,Yilan,TW,80.91,broken clouds,24.757,121.753,Dar Chen Hotel
516,Espanola,US,82.53,scattered clouds,35.9911,-106.0806,Santa Claran Hotel Casino
517,Mapiripan,CO,80.51,moderate rain,2.8892,-72.1256,Monserrate
518,Tautira,PF,78.53,light rain,-17.7333,-149.15,Pension Oaoa
519,Dickinson,US,88.03,broken clouds,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
522,Sechura,PE,75.78,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
524,Malakal,SS,88.97,clear sky,9.5334,31.6605,Nile Palace Hotel
525,Oranjestad,AW,84.15,broken clouds,12.524,-70.027,Divi Village Golf & Beach Resort
526,Komsomolskiy,UZ,77.72,clear sky,40.4272,71.7189,Ikathouse
531,Andros Town,BS,82.36,overcast clouds,24.7,-77.7667,Hanks place
532,Palmerston,AU,78.78,overcast clouds,-12.486,130.9833,Quest Palmerston - Serviced Apartments and Accommodation
535,Sanghar,PK,89.73,clear sky,26.0466,68.9481,Goklani House گوکلانی ہائوس
545,Anori,BR,81.82,light rain,-3.7728,-61.6442,Novo Hotel 5 Irmãos
546,Golden,US,79.88,broken clouds,39.7555,-105.2211,"The Golden Hotel, Ascend Hotel Collection"
550,Pasighat,IN,75.92,overcast clouds,28.0667,95.3333,Siang Guest House
551,Waslala,NI,87.78,broken clouds,13.2333,-85.3833,Shell Qianjiang City Qianjiang bus station Hotel
559,Wanning,CN,81.18,overcast clouds,18.8003,110.3967,Paradise Hotel
562,Tahmek,MX,89.94,broken clouds,20.8833,-89.2667,Hacienda San Jose Poniente
563,Hambantota,LK,79.54,scattered clouds,6.1241,81.1185,Bungalow 63
567,High Rock,BS,75.22,moderate rain,26.6208,-78.2833,Hideaway Bahamas Beach Club
570,Gazanjyk,TM,87.39,clear sky,39.2446,55.5154,Railway motel
575,Miguel Calmon,BR,82.99,overcast clouds,-11.4289,-40.595,Pousada Guiomar
578,Loandjili,CG,75.74,scattered clouds,-4.7561,11.8578,Résidence ARCHANGE
580,Gombe,NG,79.97,moderate rain,10.2897,11.1673,Custodian Hotel Gombe
581,Ormara,PK,81.79,clear sky,25.2088,64.6357,Kenara Colony house for Rent
583,Porto Novo,BJ,84.02,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
588,Salamiyah,SY,77.9,clear sky,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
589,Nouadhibou,MR,84.18,sand,20.931,-17.0347,El Medina
590,Puerto Narino,CO,76.68,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
593,Road Town,VG,86.04,broken clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
594,Itaituba,BR,89.76,scattered clouds,-4.2761,-55.9836,Hotel Campos
598,Kailua,US,75.65,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
605,Panama City,PA,87.39,scattered clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
606,Grand Gaube,MU,75.6,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
608,Tucumcari,US,76.95,clear sky,35.1717,-103.725,"Holiday Inn Express & Suites Tucumcari, an IHG Hotel"
618,Sibolga,ID,76.37,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
619,Sapulpa,US,78.21,clear sky,35.9987,-96.1142,Super 8 by Wyndham Sapulpa/Tulsa Area
621,Kaohsiung,TW,81.03,broken clouds,22.6163,120.3133,御宿商旅-中山館
624,Kantang,TH,77.76,moderate rain,7.4054,99.5156,Reng Ta Chai Boutique HomeStay
627,Mandera,KE,84.45,broken clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
631,Tarauaca,BR,77.16,overcast clouds,-8.1614,-70.7656,Flat Temporada
632,Namatanai,PG,78.75,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
634,Dingle,PH,77.25,light rain,10.9995,122.6711,SEGAYA PROPERTY
635,Galle,LK,78.49,few clouds,6.0367,80.217,Amangalla
636,Shache,CN,79.72,overcast clouds,38.4167,77.2406,Delong Hotel
641,Batar,RO,77.38,scattered clouds,46.7,21.8167,Shell Qianjiang City Qianjiang bus station Hotel
648,Amahai,ID,78.26,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
651,Mokolo,CM,76.37,broken clouds,10.7398,13.8019,Diwa Hôtel
652,Leogane,HT,88.9,scattered clouds,18.5108,-72.6339,Family Health Ministries Guest House
653,Axim,GH,80.53,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
657,Dodge City,US,78.26,few clouds,37.7528,-100.0171,Windsor Inn & Suites
661,Prainha,BR,86.16,overcast clouds,-1.8,-53.48,Casa Rocha
662,Dong Xoai,VN,75.13,overcast clouds,11.5333,106.9167,Khách Sạn Bình Phước - Khách Sạn Ngọc Lan
666,Bardiyah,LY,76.03,clear sky,31.7561,25.0865,بورتو بردية
670,Mitsamiouli,KM,79.2,broken clouds,-11.3847,43.2844,Foyer ADM
674,Ahuimanu,US,75.36,few clouds,21.4447,-157.8378,Paradise Bay Resort
675,Pemangkat,ID,79.38,broken clouds,1.1667,108.9667,Ramah Kost KITA
678,Kabin Buri,TH,76.78,broken clouds,13.9511,101.7177,At Home Kabinburi
679,Los Alamos,US,76.95,clear sky,35.8881,-106.307,"Holiday Inn Express & Suites Los Alamos Entrada Park, an IHG Hotel"
681,Mlonggo,ID,78.4,overcast clouds,-6.5333,110.7,Asia Metal Art
682,Samaro,PK,88.81,clear sky,25.2815,69.3965,M AFZAL GOURNAL STOR SAMARO
686,Nago,JP,79.65,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
692,Coruripe,BR,79.93,broken clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
696,Qianjiang,CN,76.39,overcast clouds,30.4151,112.8859,Shell Qianjiang City Qianjiang bus station Hotel
